Link ID,Route Prefix,Route Number,Route Suffix,Route Label,Route Alias,Physical Jurisdiction,,Maintenance Jurisdiction,,Link Length,Start Label,End Label,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality,Data Date,Comment,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality
090353,  US,00029,     ,"US 29, VA 309",Old Dominion Dr,000,Arlington County,000,Arlington County,0.05,S SR 309; Lee Hwy,M SR 309 Lee Hwy,29000,F,98%,0%,1%,0%,0%,0%,F,0.1060,,0.6699,33000,F,2016,,,,,,,,,,,,,,,
090354,  US,00029,     ,US 29,Old Dominion Dr,000,Arlington County,000,Arlington County,0.67,M SR 309 Lee Hwy;,N SR 309 Lee Hwy; Quincy St,18000,F,98%,0%,1%,0%,0%,0%,F,0.1119,,0.7610,20000,F,2016,,,,,,,,,,,,,,,
090162,  US,00029,     ,US 29,Lee Highway,000,Arlington County,000,Arlington County,0.48,N SR 309 Lee Hwy; Quincy St,I-66,23000,F,98%,0%,1%,0%,0%,0%,F,0.1129,,0.7704,26000,F,2016,,,,,,,,,,,,,,,
090163,  US,00029,     ,US 29,Lee Highway,000,Arlington County,000,Arlington County,0.19,I-66,SR 124; Kirkwood Rd,32000,F,98%,0%,1%,0%,0%,0%,F,0.0966,,0.6860,36000,F,2016,,,,,,,,,,,,,,,
090160,  US,00029,     ,US 29,Lee Highway,000,Arlington County,000,Arlington County,0.57,SR 124; Kirkwood Rd,21st St; US 29 Par,19000,F,98%,0%,1%,0%,0%,0%,F,0.1260,,0.8007,21000,F,2016,,,,,,,,,,,,,,,
090161,  US,00029,     ,US 29,Lee Highway NB,000,Arlington County,000,Arlington County,1.00,21st St; US 29 Par,District of Columbia Line,15000,F,98%,0%,1%,0%,0%,0%,F,0.1260,,0.8007,17000,F,2016,,21000,F,98%,0%,1%,0%,0%,0%,F,0.1017,,0.8925,24000,F
782996,  US,00029, 246A,US 29 Exit 246A,Ramp,000,Arlington County,000,Arlington County,0.12,US 29 Lee Highway,I-66 West,6300,G,,,,,,,X,0.0900,,1.0000,6300,G,2016,,,,,,,,,,,,,,,
783000,  US,00029,N247A,US 29 NB Exit 247A,Ramp,000,Arlington County,000,Arlington County,0.12,US 29 Lee Highway NB,I-66 East,16000,G,,,,,,,X,0.0934,,1.0000,16000,G,2016,,,,,,,,,,,,,,,
783044, 1US,00029,P    ,US 29 Par,Lee Highway SB,000,Arlington County,000,Arlington County,0.90,US 29; 21st St,US 29; Lynn St at DC Line,5900,F,98%,0%,1%,0%,0%,0%,F,0.1633,,1.0000,6700,F,2016,,21000,F,98%,0%,1%,0%,0%,0%,F,0.1017,,0.8925,24000,F
783045, 1US,00029,P000A,US 29 Par Exit 000A,Ramp,000,Arlington County,000,Arlington County,0.15,1US 29-P TO RT 66 WEST,1US 29-P TO RT 66 WEST,7800,G,,,,,,,X,0.0859,,1.0000,7800,G,2016,,,,,,,,,,,,,,,
090214,  US,00050,     ,US 50,Arlington Blvd,000,Arlington County,000,Arlington County,2.03,Fairfax County Line,SR 120 Glebe Rd,54000,F,99%,0%,1%,0%,0%,0%,F,0.0921,,0.6975,58000,F,2016,,,,,,,,,,,,,,,
090188,  US,00050,     ,US 50,Arlington Blvd,000,Arlington County,000,Arlington County,1.06,SR 120 Glebe Rd,SR 27 Washington Blvd,61000,F,99%,0%,1%,0%,0%,0%,F,0.0902,,0.5728,66000,F,2016,,,,,,,,,,,,,,,
090186,  US,00050,     ,US 50,Arlington Blvd,000,Arlington County,000,Arlington County,1.93,SR 27 Washington Blvd,District of Columbia Line,53000,F,99%,0%,1%,0%,0%,0%,F,0.0960,,0.6369,57000,F,2016,,,,,,,,,,,,,,,
990108,  IS,00066,E    ,I-66 EB, ,000,Arlington County,000,Arlington County,0.24,Fairfax County Line,Westmoreland St,64000,G,99%,1%,0%,0%,0%,0%,F,0.0680,,1.0000,68000,G,2016,,134000,G,99%,1%,0%,0%,0%,0%,F,0.0632,,0.5150,143000,G
190018,  IS,00066,E    ,I-66 EB, ,000,Arlington County,000,Arlington County,0.94,Westmoreland St,Sycamore St,63000,G,99%,1%,0%,0%,0%,0%,F,0.0688,,1.0000,67000,G,2016,,120000,G,99%,1%,0%,0%,0%,0%,F,0.0649,,0.5236,128000,G
190019,  IS,00066,E    ,I-66 EB, ,000,Arlington County,000,Arlington County,1.74,Sycamore St,SR 237 Fairfax Drive,58000,G,99%,1%,0%,0%,0%,0%,F,0.0706,,1.0000,62000,G,2016,,117000,G,99%,1%,0%,0%,0%,0%,F,0.0643,,0.5274,124000,G
190020,  IS,00066,E    ,I-66 EB, ,000,Arlington County,000,Arlington County,0.56,SR 237 Fairfax Drive,SR 120 Glebe Rd,46000,G,99%,1%,0%,0%,0%,0%,F,0.0722,,1.0000,49000,G,2016,,90000,G,99%,1%,0%,0%,0%,0%,F,0.0672,,0.5450,96000,G
090106,  IS,00066,E    ,I-66 EB, ,000,Arlington County,000,Arlington County,0.97,SR 120 Glebe Rd,US 29 Lee Hwy Cherrydale,53000,A,99%,1%,0%,0%,0%,0%,C,0.0712,,1.0000,56000,A,2016,,103000,B,99%,1%,0%,0%,0%,0%,C,0.0679,,0.5313,109000,B
190021,  IS,00066,E    ,I-66 EB, ,000,Arlington County,000,Arlington County,1.05,US 29 Lee Hwy Cherrydale,US 29 Near 20th Rd,47000,G,99%,1%,0%,0%,0%,0%,F,0.0717,,1.0000,50000,G,2016,,92000,G,99%,1%,0%,0%,0%,0%,F,0.0668,,0.5454,97000,G
190022,  IS,00066,E    ,I-66 EB, ,000,Arlington County,000,Arlington County,0.85,US 29 Near 20th Rd,Lynn St Rosslyn,39000,G,99%,1%,0%,0%,0%,0%,F,0.0740,,1.0000,42000,G,2016,,76000,G,99%,1%,0%,0%,0%,0%,F,0.0666,,0.5650,81000,G
190023,  IS,00066,E    ,I-66 EB, ,000,Arlington County,000,Arlington County,0.50,Lynn St Rosslyn,"DC Line, Potomac River; Roosevelt Bridge",55000,G,99%,1%,0%,0%,0%,0%,F,0.0775,,1.0000,59000,G,2016,,102000,G,99%,1%,0%,0%,0%,0%,F,0.0750,,0.5274,108000,G
782825,  IS,00066,E068A,I-66 EB Exit 068A,Ramp,000,Arlington County,000,Arlington County,0.10,I-66 East,Westmoreland St,3700,G,99%,0%,0%,0%,0%,0%,C,0.0951,,1.0000,3700,G,2016,,,,,,,,,,,,,,,
782826,  IS,00066,E068B,I-66 EB Exit 068B,Ramp,000,Arlington County,000,Arlington County,0.09,I-66 East,Fairfax Dr,12000,G,99%,0%,0%,0%,0%,0%,C,0.0827,,1.0000,12000,G,2016,,,,,,,,,,,,,,,
782827,  IS,00066,E071A,I-66 EB Exit 071A,Ramp,000,Arlington County,000,Arlington County,0.25,I-66 East,N Fairfax Dr,15000,G,100%,0%,0%,0%,0%,0%,C,0.0809,,1.0000,15000,G,2016,,,,,,,,,,,,,,,
782828,  IS,00066,E072A,I-66 EB Exit 072A,Ramp,000,Arlington County,000,Arlington County,0.19,I-66 East,US 29 Lee Highway,7300,G,,,,,,,X,0.0846,,1.0000,7300,G,2016,,,,,,,,,,,,,,,
782829,  IS,00066,E073A,I-66 EB Exit 073A,Ramp,000,Arlington County,000,Arlington County,0.12,I-66 East,US 29 Lee Highway NB,7800,G,,,,,,,X,0.0724,,1.0000,7800,G,2016,,,,,,,,,,,,,,,
782830,  IS,00066,E075A,I-66 EB Exit 075A,26th St,000,Arlington County,000,Arlington County,0.13,I-66 East,SR 110 Jefferson Davis Hwy,25000,G,,,,,,,X,0.0828,,1.0000,25000,G,2016,,,,,,,,,,,,,,,
190033,  IS,00066,W    ,I-66 WB, ,000,Arlington County,000,Arlington County,0.37,Fairfax County Line,SR 237 Washington Blvd; US 29 Lee Hwy,70000,G,99%,1%,0%,0%,0%,0%,F,0.0798,,1.0000,75000,G,2016,,134000,G,99%,1%,0%,0%,0%,0%,F,0.0690,,0.5778,143000,G
190032,  IS,00066,W    ,I-66 WB, ,000,Arlington County,000,Arlington County,0.81,SR 237 Washington Blvd; US 29 Lee Hwy,Sycamore St,57000,G,99%,1%,0%,0%,0%,0%,F,0.0718,,1.0000,61000,G,2016,,120000,G,99%,1%,0%,0%,0%,0%,F,0.0649,,0.5236,128000,G
190031,  IS,00066,W    ,I-66 WB, ,000,Arlington County,000,Arlington County,1.70,Sycamore St,SR 237 Fairfax Drive,58000,G,99%,1%,0%,0%,0%,0%,F,0.0717,,1.0000,62000,G,2016,,117000,G,99%,1%,0%,0%,0%,0%,F,0.0656,,0.5047,124000,G
